,Answer_Type,Example
0,1,Здравствуйте. Можно подать документы для поступления в электронном виде?
1,4,какие предметы надо сдавать ?
2,1,Нужна ли профильная математика ?
3,2,"Подскажите, пожалуйста, сколько баллов надо чтобы поступить на медицинскую кибернетику"
4,1,Предоставляется ли общежитие?
5,2,Какая стоимость проживания?
6,2,Какой размер стипендии?
7,3,"подскажите, пожалуйста, где можно посмотреть перечень документов, необходимых при подаче заявки на поступление?"
8,5,И какой последний день приема заявлений по эл.почте?
9,3,где вы проходите практику?
10,1,Нужна ли вторая обувь?
11,5,И когда приказ о зачислений выйдет?
12,5,Скажите пожалуйста когда будет приказ на зачисление?
13,2,можно уточнить о стоимости обучения в приказе у 4 курса?
14,5,можно узнать точные числа дней открытых дверей
15,1,есть ли у вас магистратура по программированию?
16,3,Где можно форму заявления о приёме в ПГТУ скачать?
17,1,А на время вступительных испытаний иногородним поступающим предоставляется жильё?
18,5,Когда у вас ближайший день открытых дверей?
19,3,Где можно узнать точный список подавших заявление
20,5,во сколько 5 августа зачисление будет?
21,5,какого числа заселяют в общагу?
22,4,Как производится оплата?
23,4,"И как вообще, сложно обучаться?"
24,4,что нужно для магистратуры на менеджмент?
25,1,нужно ли свидетельство о результатах ЕГЭ при поступлении в этом году?
26,4,какие предметы нужны для поступления на кафедру химии и биотехнологии?
27,1,Есть шанс поступить на электротехнический со 162 баллами?
28,1,В субботу документы принимают?
29,5,во-сколько будет собрание по поводу зачисления
30,5,когда у вас заселение
31,2,Сколько баллов надо на горно-нефтяной факультет
32,2,сколько примерно баллов надо на бюджетное место
33,2,Скажите пожалуйста сколько в этом году минимальный балл для поступления в ПНИПУ
34,1,"Есть ли бюджетные места заочного отделения на специальность ""Информационые системы и технологии"""
35,5,"Здравствуйте,скажите когда будет день открытых дверей?"
36,1,Скажите пожалуйста есть ли возможность учиться на заочном бесплатно?
37,1,можно ли при подаче оригинала изменить приоритет?
38,4,студенты каких факультетов учатся на комплексе?
39,5,Когда будет поступление?
40,1,На зачисление обязательно приезжать?
41,1,с первого дня сразу будут лекции?
42,2,какие расценки на гуманитарный факультет?
43,1,Можно ли сдать вступительные экзамены или ЕГЭ в вашем университете?
44,1,Возможно ли при поступлении сдать обществознание?
45,1,Платят ли губернаторскую стипендию в политехе?
46,2,а сколько губернаторская?
47,1,Трудно учиться на факультете прикладной математики и механики?
48,1,В вузе есть установленная форма одежды?
49,5,Когда вы будете проводить день открытых дверей?
50,4,Как проверить курсовую работу на плагиат?
51,1,обязательно ли нужна медицинская справка?
52,4,"Какие экзамены нужно сдать, чтобы поступить на нефтяника?"
53,2,Сколько баллов добавляют за аттестат с отличием?
54,1,Есть ли какие-либо вступительные испытания помимо ЕГЭ?
55,1,Нужна ли флюрография для поступления в Политех?
56,4,Какие именно документы нужны для подачи?
57,4,Какова вероятность поступить на бюджет?
58,1,"Здравствуйте, есть направление в ПНИПУ металлорежущие станки?"
59,4,"Здравствуйте, а как у вас с общежитиями?"
60,2,"здравствуйте,сколько нужно платить за общежитие?"
61,5,До какого числа идет прием оригиналов на бюджет?
62,1,а можно 1 августа ещё принести оригинал или уже нельзя?
63,1,"Здравствуйте,на контрактной основе тоже идет конкурс по баллам?"
64,1,а ИНН обязательно нести на зачисление?
65,1,Нужно ли сдавать биологию для поступления на химический факультет?
66,1,Обязательно ли второго августа на зачислении присутствовать?
67,1,трудно будет на ЭТФ учится?
68,2,"Подскажите, сколько будет длиться установочная сессия у заочников?"
69,5,"Здравствуйте, когда первокурсники получат зачетные книжки?"
70,1,на факультет менеджмент нужно ли предоставлять медицинскую справку?
71,3,Где брать учебеники?
72,5,С какого дня начнёт действовать пропускная система?
73,1,Есть какая-нибудь информация по дням открытых дверей?
74,5,А когда будет день открытых дверей или уже был?
75,3,"Подскажите, где можно посмотреть информацию по второму высшему?"
76,1,"Если от предприятия, то важны ли вступительные экзамены?"
77,2,сколько стоят подготовительные курсы?
78,1,Оплата обучения материнским капиталом возможна
79,1,"Скажите,пожалуйста,а вступительные экзамены можно сдавать при поступлении?"
80,1,Здравствуйте. А на время вступительных испытаний иногородним поступающим предоставляется жильё?
81,1,"Здравствуйте, а можно узнать есть ли в этом году набор по специальности ""Экономика и управление на предприятиях нефтяной и газовой промышленности"" на заочное?"
82,5,когда у вас ближайший день открытых дверей?
83,4,Какие направления магистратуры есть в Вузе
84,4,"какие документы необходимо предоставить, чтобы поступить?"
85,2,Какой проходной балл на электротехническом факультете?
86,4,Какие документы нужны для поступления в ваш вуз?
87,5,В каких числах ведётся приём документов?
88,3,Где я буду работать?
89,4,Как проходит экзамен в магистратуру и есть ли он
90,4,при каких оценках студент может получать стипендию?
91,1,Буду ли я учится на комплексе?
92,2,Сколько составляет стоимость семестра обучения по ... направлению?
93,2,Какой проходной балл на каждое направление?
94,4,Какие у вас преподаватели?
95,1,Есть ли парковочные места?
96,1,Играют ли роль оценки в дипломе бакалавра при поступлении в магистратуру
97,2,"на какое количество направлений я могу поступить с набором предметов (русский, математика, информатика)?"
98,3,Где смотреть рейтинг?
99,3,Где найти список дисциплин по моему направлению?
100,4,Какие документы нужны для поступления?
101,4,Расскажите про студенческую жизнь
102,4,как распределяются бюджетные места на факультете?
103,1,Есть ли военная кафедра?
104,4,"Какие предметы нужно сдать, чтобы поступить?"
105,2,На сколько разных направлений можно подавать документы?
106,5,В какие сроки мне нужно подать документы?
107,2,Сколько пакетов документов нужно подавать?
108,4,Какие именно документы нужно подавать?
109,4,Как подать документы?
110,3,Какой адрес у Приёмной комиссии?
111,5,В какое время можно подать документы?
112,1,"Могу ли я подать документы лично, если мне меньше 18 лет?"
113,1,Нужно ли нотариально заверять копии документов?
114,1,"Можно ли подать документы, когда известны ещё не все результаты ЕГЭ?"
115,1,"Я хочу подать на платное и бюджетное одновременно, так можно?"
116,1,Нужно ли вместе с документами подавать фотографии?
117,1,Нужно ли предоставлять в приёмную комиссию с пакетом документов приписное свидетельство или военный билет?
118,1,"Повлияет ли на моё поступление то, насколько рано я подам документы?"
119,1,"Повлияет ли на моё поступление то, отдам ли я оригинал раньше других?"
120,5,Когда будут экзамены?
121,4,Какие экзамены нужно сдавать?
122,2,"Сколько баллов нужно набрать, чтобы попасть на бюджетное место на мою программу?"
123,2,"Сколько баллов нужно набрать, чтобы попасть на платное место на мою программу?"
124,1,Есть ли конкурс на платное отделение?
125,2,Какова стоимость обучения?
126,1,Много ли бюджетных мест?
